,ip & extension,ip & extension,ip & no extension,ip & no extension
,first byte ms,page load ms,first byte ms,page load ms
0,1136,3959,1031,3797
1,1121,4080,1014,3809
2,1130,4016,1057,3834
3,1192,4045,983,3862
4,1135,4013,982,3915
5,1135,4296,993,3938
6,1076,3981,973,3912
7,1149,3996,1002,3914
8,1131,4009,1005,3821
9,1091,4154,1004,3914
10,1114,3987,1027,3933
11,1130,3988,1410,3949
12,1103,4002,997,4126
13,1115,4002,997,3932
14,1113,4174,981,3952
15,1115,3872,1021,3919
16,1128,4050,999,3686
17,1138,3976,986,3928
18,1087,3980,986,3916
19,1138,4002,1022,3929
20,1104,3985,973,3927
21,1120,3993,968,3895
22,1129,3987,969,3834
23,1147,3943,985,3931
24,1112,3943,1025,3919
25,1117,3970,1017,3883
26,1151,3942,978,3838
27,1148,3977,993,3855
28,1118,4025,983,3885
29,1136,3987,1025,3904
30,1124,3930,966,3970
31,1114,3944,975,3876
32,1131,4405,992,3907
33,1117,3981,984,3925
34,1127,3976,45660,7077
35,1156,4019,1042,3928
36,1111,4017,975,3927
37,1097,4021,970,3909
38,1094,3968,983,3964
39,1158,4057,984,3948
40,1143,3941,986,3881
41,1122,4041,973,3918
42,1112,3991,985,3904
43,1136,3977,977,3890
44,1188,4076,966,3895
45,1152,3954,982,3888
46,1078,3971,1003,3938
47,1136,4049,967,3875
48,1110,3988,979,3896
49,1106,4253,980,4059
50,1119,4008,982,3909
51,1198,3964,1001,4324
52,1130,3971,971,3920
53,1159,4039,1010,3947
54,1122,3985,993,3922
55,1123,4041,1030,3952
56,1131,4034,1000,3919
57,1155,4000,999,3888
58,1105,3969,984,3776
59,1116,4837,971,3927
60,1145,4014,1029,3769
61,1147,3902,988,3964
62,1171,3993,1002,3931
63,1176,3904,1020,3927
64,1158,3964,991,3953
65,1148,3924,974,3892
66,1117,3989,997,4000
67,1095,3992,990,3816
68,1140,3991,984,31686
69,1163,4007,987,3890
70,1066,4038,992,3863
71,1132,4002,1002,3855
72,1077,3947,955,3871
73,1126,4000,981,3878
74,1117,4037,991,4017
75,1106,4001,1025,3830
76,1093,4015,974,3880
77,1112,3975,963,3896
78,1099,4036,966,3923
79,1135,3980,997,4020
80,1098,3996,989,3867
81,1132,3989,1443,3913
82,1095,3942,977,3889
83,1128,3981,970,3912
84,1171,4047,1028,3894
85,1124,3987,998,3934
86,1144,4014,985,3829
87,1116,4027,975,3756
88,1119,4031,966,3900
89,1099,3994,991,3894
90,1153,3972,967,3892
91,1164,4000,964,3891
92,1151,4023,955,3996
93,1096,4248,989,3926
94,1113,3970,976,3814
95,1097,3948,1009,3838
96,1152,3978,972,3913
97,1194,3978,1000,3904
98,1136,4037,1010,3875
99,1127,3918,972,3873
