,scion & extension,scion & extension
,first byte ms,page load ms
0,1008,3411
1,978,3400
2,995,6624
3,1005,3815
4,961,4225
5,1046,3403
6,1005,3927
7,1025,3424
8,1013,3418
9,1015,3418
10,1022,3690
11,1000,3403
12,1000,3453
13,1067,3432
14,1021,3546
15,991,3381
16,1038,3436
17,1035,3403
18,1011,3897
19,1057,3394
20,1029,3432
21,995,4255
22,1039,3404
23,1073,3486
24,981,3385
25,1009,3408
26,979,3445
27,1029,3602
28,1011,3667
29,1030,3417
30,1031,3416
31,1014,3402
32,989,3770
33,985,3399
34,1019,3401
35,988,3408
36,1017,3457
37,998,3423
38,1033,6449
39,961,3417
40,983,3413
41,998,3402
42,1016,3420
43,1025,3404
44,2337,3418
45,1049,3740
46,990,3385
47,1025,4176
48,1035,3392
49,1014,3388
50,983,3572
51,1025,3400
52,1010,3504
53,979,3586
54,977,3405
55,990,3504
56,1032,3425
57,1021,3903
58,997,3439
59,1021,3420
60,1010,3769
61,1008,3478
62,992,3605
63,1033,3415
64,1004,3441
65,1050,3432
66,1018,3415
67,1012,3574
68,1028,3421
69,993,3419
70,975,3687
71,1008,3386
72,1043,4729
73,997,3390
74,966,3642
75,1012,3456
76,1049,3439
77,1005,3659
78,1005,3378
79,964,3474
80,1044,3612
81,1069,3433
82,1006,3398
83,1035,3394
84,1054,3431
85,1012,3404
86,998,3427
87,1027,6919
88,1059,3881
89,984,4063
90,1007,3418
91,1019,3402
92,1007,3505
93,994,3921
94,1006,8292
95,981,4114
96,1032,3491
97,1031,6442
98,988,3513
99,1002,4068
