,std & proxy,std & proxy
,first byte ms,page load ms
0,988,4561
1,1016,4557
2,1029,4536
3,991,4402
4,994,4361
5,1076,4422
6,1013,4297
7,1025,4276
8,992,4409
9,996,4376
10,1025,4531
11,1011,4351
12,1013,4322
13,1042,4347
14,999,4365
15,988,4409
16,1016,4379
17,1003,4294
18,996,4300
19,980,4338
20,1022,4342
21,991,4509
22,1009,4522
23,1017,4301
24,1009,4362
25,1026,4381
26,988,4518
27,987,4303
28,1015,4416
29,997,4430
30,981,4279
31,1045,4597
32,1029,4463
33,985,4517
34,997,4493
35,1018,4325
36,1007,4361
37,1045,4474
38,1013,4495
39,976,4456
40,1002,4360
41,1036,4537
42,1003,4300
43,1023,4404
44,1062,4259
45,1003,4520
46,1012,4313
47,1040,4335
48,1037,4242
49,1043,4454
50,1010,4387
51,1006,4422
52,1036,4309
53,995,4593
54,1055,4429
55,1015,4285
56,1047,4502
57,1000,4289
58,990,4388
59,1025,4394
60,1000,4610
61,1009,4354
62,982,4289
63,998,4530
64,1007,4487
65,1004,4434
66,1047,4404
67,1004,4333
68,1022,4561
69,1044,4674
70,1379,4453
71,1017,4406
72,1038,4329
73,996,4366
74,986,4495
75,1019,4419
76,1004,4269
77,981,4296
78,1017,4409
79,986,4561
80,979,4317
81,1011,4391
82,1021,4473
83,997,4473
84,972,4310
85,1009,4300
86,989,4278
87,1026,4264
88,995,4335
89,1004,4243
90,1016,4540
91,1029,4435
92,1012,4320
93,1031,4253
94,1035,4461
95,1008,4545
96,992,4588
97,996,4575
98,1006,4445
99,987,4369
